Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling	FAIR Issues	FAIR Score
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/williamkoller/challenge-brain-agriculture	williamkoller	williamkoller	TypeScript					No Environment Spec	9
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/brainrot02back/brainrot02back	brainrot02back	brainrot02back						No Dependencies; No Version Info; No Container; No Environment Spec	6
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/BAICIL/HBS-AgeNet	BAICIL	javad-s-banner	Python					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/BenoitFaure/MedGemma_DeepMind	BenoitFaure	BenoitFaure; Mzoughh; NueveCuatro	HTML					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	chandrasekarnarayana	chandrasekarnarayana	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	0
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ankitganeshpurkar/AlzLeads	ankitganeshpurkar	ankitganeshpurkar	Python					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/marlenelin/leads_ptau_pet_analysis	marlenelin	marlenelin	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	MyronFernandes	MyronFernandes; myronfds	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/rf2485/eoad_wmh	rf2485	rf2485						No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Rupashi9/In-Silico-Screening-Hyperoside-AD	Rupashi9	Rupashi9						No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Shalimar01	Shalimar01						No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Akshaybhat5/Parkinson-s-disease-predictor	Akshaybhat5	Akshaybhat5	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Srishtichauhan5359/Parkinson-s-Disease-Detection	Srishtichauhan5359	Srishtichauhan5359	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JKBehnke/Beta_profile	JKBehnke	JKBehnke	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ashu979/FAll_DETECTION	ashu979	ashu979	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Tanaybalraj/Eye-blink-to-speech	Tanaybalraj	Tanaybalraj	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/Solar-Gold-smart-safe-	mehdi4027							No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/satoshi-Nakomoto	mehdi4027							No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/vineethsaivs/Brain-Tumor-Detection-using-Deep-Learning	vineethsaivs	vineethsaivs	CSS					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System-	Franchglobal2	Franchglobal2						No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System	Franchglobal2	Franchglobal2						No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/guilhermeverdoodt/brainx-crm-chatbot	guilhermeverdoodt	guilhermeverdoodt	JavaScript					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/adrielyeung/comp-neuro	adrielyeung	adrielyeung	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Aman0525/Drowsiness-Detection	Aman0525	Aman0525	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MananKhare/Blind-Stick-Navigator	MananKhare	MananKhare						No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/eduardomiranda/brainncare_streamlit_leads	eduardomiranda	eduardomiranda	Python					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/spacetracker-collab/PhysicsMathsFromBrain	spacetracker-collab	spacetracker-collab	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/tophercook7-maker/scout-brain	tophercook7-maker	sofeel	Python					No Version Info; No Environment Spec	8
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/martindessart/Brain_Like_A_Sieve	martindessart	martindessart	HTML					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/bishtshweta/CNN-and-Python--Based-detection-of-Brain-Strokes-using-MRI-Brain-images-that-leads-to-Epilepsy	bishtshweta	bishtshweta	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/yuvraj0651/Braincms-app	yuvraj0651	yuvraj0651	JavaScript					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Gopher2016/Border-Detection-and-Image-Analysis-of-Implanted-Deep-Brain-Stimulation-Leads-in-Close-Proximity	Gopher2016	Gopher2016	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Technix-Technothon2k22/Binary-brains	Technix-Technothon2k22	SiddheshDabholkar; Alroyfernz; Technix-Technothon2k22; zeus11011	TypeScript					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/tonylincon1/Automacao-de-pesquisa-e-coleta-de-leads-no-linkedin	tonylincon1	tonylincon1	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/License-and-Scale/business-data-brain-template	License-and-Scale		TypeScript					No Version Info; No Container; No Environment Spec	7
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JonJon50/Brain-Storm	JonJon50	JonJon50	JavaScript					No Version Info; No Container; No Environment Spec	7
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/AmurdAmzer/AdamsBrain	AmurdAmzer	AmurdAmzer	TypeScript					No Version Info; No Container; No Environment Spec	7
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/adamjamo/adams-brainfood-proj	adamjamo	adamjamo	JavaScript					No Version Info; No Container; No Environment Spec	7
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Cliffypal	Cliffypal	HTML					No Dependencies; No Version Info; No Container; No Environment Spec	6
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/berkaykaratass/AI-Integrated-Virtual-Brain-Twin-for-Real-Time-EEG-Monitoring-of-Burst-Suppression-and-Epilepsy	berkaykaratass		JavaScript					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	0
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/bytesc/Image_Recognition_WebGUI	bytesc	bytesc	Python					No Version Info; No Container; No Environment Spec	7
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/bytesc/Image-Recognition-system	bytesc	bytesc	Python					No Version Info; No Container; No Environment Spec	7
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/grantgasser/Alzheimers-Prediction	grantgasser	grantgasser	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/bbanddd/ADDL	bbanddd	4everstella	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/yingszuo/cnn_mci_ad_classification	yingszuo	yingszuo	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/vipul105/Alzheimers_Disease_Progression	vipul105	vipul105; kaurrachneet6	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Sapphirine/Alzheimers_Diagnosis_StageDetermination	Sapphirine	skyislightblue; MichaelNg1	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/bsearchinger/ADNI	bsearchinger	bcollica; rroggenkemper; bsearchinger	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/giocoal/ADNI-brain-MRI-alzheimer-WGAN-generation-and-classification	giocoal	giocoal; elingenthal	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/renwang435/adni_visualize	renwang435	renwang435	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Abhi156128/Alzheimer-Disease-Prediction-using-ML	Abhi156128	Abhi156128	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/e-pet/adni-bias	e-pet	e-pet	Python					No Dependencies; No Version Info; No Container; No Dependencies; No Version Info; No Container	4
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/rkushol/ADDFormer	rkushol	rkushol	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/MahsaShk/AD_Classification_VAE	MahsaShk	MahsaShk	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/kaderghal/ADNI_Data_processing	kaderghal	kaderghal	Python					No Version Info; No Container; No Environment Spec	7
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/damianpolakpjwstk/alzheimer_disease_classification_tools	damianpolakpjwstk	dpolak-dtiq; damianpolakpjwstk	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/AC209a-AlzheimersProject/alzheimers-project	AC209a-AlzheimersProject	abhimanyuvasishth; nathaneinstein; rorymaizels; robbertstruyven	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/sambd86/cnn-adni	sambd86							No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/nikkithags/Detection-and-Analysis-of-Alzheimer-s-disease	nikkithags	nikkithags	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/yacineammari/PFE-alzheimer-disease-classification	yacineammari	yacineammari	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/barupal/ADNI	barupal	barupal	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/tjiagoM/adni_phenotypes	tjiagoM	tjiagoM	Python					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/justvicthor/Early_Alzheimer_Detection_DL	justvicthor	Crippius; justvicthor; albtad01	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/kaurrachneet6/MLforADNI	kaurrachneet6	kaurrachneet6; anant-dadu; anant-droid	Python					No Version Info; No Environment Spec	8
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/atri-biostats/ADNIMERGE2	atri-biostats	KedirHussen-atri; mcdonohue	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Tin-Hoang/fl-adni-classification	Tin-Hoang	Tin-Hoang	Python					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/zashari/alzheimer-mri-processing-pipeline	zashari	zashari	Python					No Version Info; No Container	8
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/joeledv/ADNI-Dementia-Detection-Classification-FreeSurfer-Segmentation	joeledv	joeledv; jmikelel	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/palsrane/ApoExSexInteractionEffectinPreDementiaAD	palsrane	palsrane	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Rudra-200/Alzheimer-s-Disease-Classification	Rudra-200	Rudra-200; kushaldn25	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/GeorgeTak/Diploma-thesis	GeorgeTak	GeorgeTak	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/zaydabash/neurodegenerAI	zaydabash	zaydabash	Python					No Version Info; No Environment Spec	8
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/kdk2612/ADNI-Dementia-Detection	kdk2612	kdk2612	CSS					No Version Info; No Container; No Environment Spec	7
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/kaurrachneet6/Alzheimer-and-Dementia-Study	kaurrachneet6	kaurrachneet6	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/PriyaBhadekar/ADNI-Dementia-3D-CNN	PriyaBhadekar	PriyaBhadekar	Python					No README; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/cind/ApoExSexInteractionEffectinPreDementiaAD_PallaviR	cind	palsrane	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/mdrajab/CFAS-and-ADNI-Neuropathology	mdrajab	mdrajab	Jupyter Notebook					No Dependencies; No Version Info; No Container; No Environment Spec; No Dependencies; No Version Info; No Container; No Environment Spec	2
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/maryneuro/wmh-dementia-permutation-analysis	maryneuro	maryneuro	Python					No Version Info; No Container; No Environment Spec	7
